Designator,Mid X,Mid Y,Rotation,Layer
C10,63.881,-66.421,270.0,top
C11,69.52,-56.134,0.0,top
C12,68.4276,-41.148,0.0,top
C14,68.58,-47.498,0.0,top
C15,69.75,-30.1,90.0,top
C16,59.944,-67.818,180.0,top
C17,63.5,-70.104,270.0,top
C18,59.182,-51.308,90.0,top
C2,63.3476,-41.6052,270.0,top
C20,69.52,-57.15,0.0,top
C21,61.8744,-43.5864,0.0,top
C22,59.944,-35.2552,180.0,top
C3,63.627,-54.61,90.0,top
C4,64.897,-66.421,270.0,top
C5,67.691,-55.245,0.0,top
C6,69.977,-61.468,0.0,top
C7,58.42,-61.468,180.0,top
C8,64.627,-54.61,90.0,top
C9,59.182,-56.515,90.0,top
D1,67.7164,-49.784,270.0,top
D2,70.358,-67.945,90.0,top
D3,62.738,-34.544,180.0,top
D4,67.945,-38.1,180.0,top
J2,64.0,-32.35,180.0,top
Q2,70.104,-51.181,270.0,top
Q3,69.4944,-34.544,0.0,top
R1,69.4436,-49.276,0.0,top
R10,65.675,-53.594,270.0,top
R11,66.675,-53.594,270.0,top
R12,67.691,-53.594,270.0,top
R13,68.707,-53.594,90.0,top
R14,59.182,-53.975,270.0,top
R16,61.8744,-44.6532,180.0,top
R17,61.976,-67.818,180.0,top
R18,64.516,-40.3352,270.0,top
R19,65.532,-40.3352,270.0,top
R2,70.485,-65.405,270.0,top
R3,59.182,-45.72,0.0,top
R4,59.182,-44.6532,0.0,top
R5,66.294,-34.417,270.0,top
R6,70.104,-70.739,90.0,top
R7,61.8744,-45.72,180.0,top
SW2,67.691,-68.834,270.0,top
SW4,60.452,-48.387,180.0,top
TH1,64.5668,-36.195,90.0,top
U1,60.2488,-39.8526,0.0,top
U2,60.96,-53.3765,0.0,top
U3,64.25,-60.452,0.0,top
U4,68.326,-44.45,90.0,top
Y1,60.833,-70.104,180.0,top
